FoodID,FoodTypeID,HealthScoreID,calories,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg
106,2,2,123.0,9.49,0.17,21.8,9.3,0.78,5.0
107,2,3,329.0,25.3,0.45,58.3,24.9,0.78,13.0
108,2,2,113.0,7.53,0.43,20.4,5.1,0.28,336.0
109,2,2,142.5,8.23,0.62,26.0,10.5,0.37,237.0
110,2,2,140.0,8.23,0.62,26.0,10.5,0.37,0.0
111,2,3,345.9,22.3,1.5,60.8,15.3,3.88,5.0
112,2,2,149.0,9.06,0.49,27.9,5.3,0.36,238.0
113,2,2,149.0,9.06,0.49,27.9,5.3,0.36,2.0
114,2,3,351.0,21.0,1.13,64.2,12.7,2.14,8.0
115,2,2,114.0,6.99,0.9,20.2,5.5,0.54,239.0
116,4,2,165.2,9.31,0.48,30.9,5.4,2.27,319.0
117,4,2,165.2,9.31,0.48,30.9,5.4,2.27,83.0
118,4,2,170.0,9.8,0.5,32.5,5.7,2.27,92.0
119,2,2,82.0,4.6,0.56,15.2,4.6,1.02,268.0
120,2,2,84.2,4.6,0.56,15.2,4.6,1.02,146.0
121,2,2,146.7,9.01,0.65,26.2,9.0,0.34,238.0
122,2,2,146.7,9.01,0.65,26.2,9.0,0.34,1.0
123,2,3,347.1,21.4,1.23,62.6,15.5,2.11,12.0
124,4,2,33.5,1.76,0.19,6.19,3.4,0.63,334.0
125,2,2,142.0,8.97,0.64,25.8,10.4,0.78,238.0
126,2,2,142.0,8.97,0.64,25.8,10.4,0.78,2.0
127,2,3,336.0,21.1,1.18,62.2,24.9,0.78,12.0
128,4,2,35.0,1.89,0.28,7.88,3.2,3.63,239.0
129,4,2,35.0,1.89,0.28,7.88,3.2,3.63,1.0
130,4,1,139.0,1.98,0.41,6.98,3.4,2.6,3.0
131,4,2,33.0,2.31,0.5,6.41,3.4,3.22,3.0
132,4,2,33.6,1.97,0.275,7.41,3.01,2.33,0.0
133,4,2,35.0,1.89,0.28,7.88,3.3,3.63,239.0
134,4,2,147.0,1.89,0.28,7.88,3.3,3.63,3.0
135,4,1,129.0,1.82,0.12,7.13,3.4,3.27,6.0
136,2,2,114.0,7.26,0.29,21.2,4.8,0.29,340.0
137,2,2,142.5,9.73,0.35,25.1,6.3,0.34,242.0
138,2,2,139.0,9.73,0.35,25.1,6.3,0.34,6.0
139,2,3,342.4,23.4,0.85,60.3,15.2,2.11,16.0
140,2,2,144.0,9.16,1.08,25.3,10.4,0.34,241.0
141,2,2,144.0,9.16,1.08,25.3,10.4,0.34,5.0
142,2,3,345.0,22.0,2.6,60.7,25.1,0.78,12.0
143,2,2,155.1,20.1,8.3,0.0,3.7,0.78,130.0
144,2,2,130.0,25.6,3.1,0.0,3.7,0.78,130.0
145,5,2,197.2,28.7,9.16,0.0,0.0,0.0,53.0
146,5,2,151.0,20.5,7.63,0.01,0.0,0.0,62.0
147,5,2,138.0,20.8,6.11,0.0,0.0,0.0,63.0
148,5,2,131.0,21.8,4.87,0.0,0.0,0.0,66.0
149,5,2,127.3,21.8,4.45,0.01,0.0,0.0,59.0
150,5,2,122.0,21.9,3.87,0.0,0.0,0.0,60.0
151,5,2,159.8,21.5,8.2,0.0,0.0,0.0,65.0
152,5,2,139.9,21.1,6.16,0.01,0.0,0.0,70.0
153,5,2,130.0,21.4,4.93,0.0,0.0,0.0,71.0
154,5,2,129.0,22.2,4.4,0.0,0.0,0.0,59.0
155,5,2,129.5,22.4,4.43,0.0,0.0,0.0,60.0
156,5,2,211.0,26.0,11.1,0.0,0.0,0.0,53.0
157,5,2,165.0,20.6,8.55,0.0,0.0,0.0,52.0
158,5,2,214.4,25.7,12.4,0.0,0.0,0.0,50.0
159,5,2,174.0,20.6,9.51,0.0,0.0,0.0,51.0
160,5,2,193.6,26.4,9.78,0.0,0.0,0.0,56.0
161,5,2,157.0,20.6,7.68,0.0,0.0,0.0,53.0
162,5,2,135.9,21.3,5.63,0.0,0.0,0.0,54.0
163,5,2,193.0,26.3,9.73,0.0,0.0,0.0,54.0
164,5,2,148.3,21.2,7.06,0.0,0.0,0.0,54.0
165,5,2,179.0,27.2,6.95,0.0,0.0,0.0,58.0
166,5,2,123.1,21.3,4.21,0.0,0.0,0.0,54.0
167,5,2,132.0,21.5,5.11,0.0,0.0,0.0,83.0
168,5,2,165.0,20.3,9.29,0.0,0.0,0.0,80.0
169,5,2,169.0,20.2,9.86,0.0,0.0,0.0,79.0
170,5,2,158.0,20.6,8.45,0.0,0.0,0.0,82.0
171,5,2,137.0,21.3,5.75,0.0,0.0,0.0,82.0
172,5,2,124.1,21.7,4.14,0.0,0.0,0.0,85.0
173,5,2,213.0,32.9,8.01,0.0,0.0,0.0,54.0
174,5,2,212.0,32.2,9.24,0.0,0.0,0.0,52.0
175,5,2,195.3,33.6,6.77,0.0,0.0,0.0,57.0
176,5,2,196.1,33.3,6.99,0.0,0.0,0.0,54.0
177,5,2,212.0,32.6,8.07,0.0,0.0,0.0,52.0
178,5,2,198.0,33.9,5.92,0.0,0.0,0.0,56.0
179,5,2,186.8,33.2,6.0,0.0,0.0,0.0,54.0
180,5,2,127.0,21.6,3.84,0.0,0.0,0.0,74.0
181,5,2,193.5,33.1,6.79,0.0,0.0,0.0,53.0
182,5,2,123.3,21.7,4.06,0.0,0.0,0.0,75.0
183,5,2,189.0,33.2,5.21,0.0,0.0,0.0,55.0
184,5,2,124.0,21.4,3.61,0.0,0.0,0.0,76.0
185,5,2,151.5,20.7,7.37,0.6,0.0,0.0,79.0
186,5,2,218.0,29.8,10.1,0.0,0.0,0.0,70.0
187,5,2,228.2,31.4,11.4,0.0,0.0,0.0,69.0
188,5,2,146.0,21.0,6.95,0.0,0.0,0.0,82.0
189,5,2,152.0,20.9,7.67,0.0,0.0,0.0,81.0
190,5,2,221.0,32.1,10.2,0.0,0.0,0.0,70.0
191,5,2,137.4,21.1,5.89,0.0,0.0,0.0,82.0
192,5,2,173.1,19.2,10.7,0.0,0.0,0.0,82.0
193,5,2,182.5,26.6,8.46,0.0,0.0,0.0,80.0
194,5,2,137.0,20.6,6.01,0.0,0.0,0.0,85.0
195,5,2,190.0,26.4,9.36,0.0,0.0,0.0,79.0
196,5,2,138.7,20.7,6.21,0.0,0.0,0.0,85.0
197,5,2,172.1,27.0,7.12,0.0,0.0,0.0,81.0
198,5,2,133.0,20.5,5.71,0.0,0.0,0.0,86.0
199,5,2,208.8,27.9,10.8,0.0,0.0,0.0,75.0
200,5,2,153.0,21.3,7.56,0.0,0.0,0.0,70.0
201,5,2,215.5,28.0,11.5,0.0,0.0,0.0,75.0
202,5,2,160.0,21.3,8.29,0.0,0.0,0.0,70.0
203,5,2,199.0,27.9,9.77,0.0,0.0,0.0,74.0
204,5,2,143.4,21.3,6.47,0.0,0.0,0.0,73.0
205,5,2,191.0,32.4,6.82,0.0,0.0,0.0,67.0
206,5,2,128.2,21.8,4.48,0.16,0.0,0.0,80.0
207,5,2,194.0,32.5,7.14,0.0,0.0,0.0,65.0
208,5,2,130.2,21.6,4.81,0.12,0.0,0.0,79.0
209,5,2,186.3,32.3,6.34,0.0,0.0,0.0,68.0
210,5,2,124.0,21.9,3.99,0.21,0.0,0.0,81.0
211,5,2,212.0,33.4,7.67,0.0,0.0,0.0,54.0
212,5,2,185.8,33.4,5.8,0.0,0.0,0.0,55.0
213,5,2,214.0,34.7,7.36,0.0,0.0,0.0,56.0
214,5,2,126.1,22.1,4.19,0.0,0.0,0.0,74.0
215,5,2,224.0,34.7,8.37,0.0,0.0,0.0,56.0
216,5,2,139.0,22.0,5.05,0.0,0.0,0.0,74.0
217,5,2,195.6,34.6,6.35,0.0,0.0,0.0,57.0
218,5,2,119.1,22.3,3.32,0.0,0.0,0.0,77.0
219,5,2,207.0,25.7,10.8,0.0,0.0,0.0,71.0
220,5,2,216.0,24.6,12.3,0.0,0.0,0.0,71.0
221,5,2,196.0,27.3,8.76,0.0,0.0,0.0,72.0
222,5,2,172.0,26.8,6.34,0.0,0.0,0.0,74.0
223,5,2,164.2,26.0,6.69,0.0,0.0,0.0,74.0
224,5,2,172.0,28.1,5.82,0.0,0.0,0.0,74.0
225,5,2,166.4,26.4,6.75,0.0,0.0,0.0,71.0
226,5,2,123.6,19.6,5.02,0.0,0.0,0.0,64.0
227,5,2,180.6,29.3,7.04,0.0,0.0,0.0,60.0
228,5,2,220.0,32.1,10.2,0.0,0.0,0.0,67.0
229,5,2,127.5,21.1,4.79,0.0,0.0,0.0,80.0
230,5,2,225.1,32.2,10.7,0.0,0.0,0.0,66.0
231,5,2,131.0,21.2,5.18,0.0,0.0,0.0,82.0
232,5,2,211.0,31.9,9.34,0.0,0.0,0.0,69.0
233,5,2,121.8,21.0,4.2,0.0,0.0,0.0,76.0
234,5,2,190.0,33.3,6.34,0.0,0.0,0.0,68.0
235,5,2,122.7,21.3,4.17,0.0,0.0,0.0,81.0
236,5,2,197.0,33.6,6.94,0.0,0.0,0.0,67.0
237,5,2,127.0,21.4,4.6,0.0,0.0,0.0,83.0
238,5,2,181.0,33.0,5.44,0.0,0.0,0.0,70.0
239,5,2,117.0,21.2,3.53,0.0,0.0,0.0,76.0
240,5,2,160.0,25.9,5.52,0.0,0.0,0.0,71.0
241,5,2,161.0,25.7,5.72,0.0,0.0,0.0,73.0
242,5,2,159.0,26.1,5.24,0.0,0.0,0.0,68.0
243,5,2,159.0,25.9,5.42,0.0,0.0,0.0,71.0
244,5,2,154.0,25.7,5.69,0.0,0.0,0.0,73.0
245,5,2,157.0,26.1,5.02,0.0,0.0,0.0,68.0
246,5,2,239.4,28.8,13.8,0.0,0.0,0.0,75.0
247,5,2,169.0,19.7,10.0,0.05,0.0,0.0,85.0
248,5,2,250.2,28.8,15.0,0.0,0.0,0.0,75.0
249,5,2,175.0,19.4,10.7,0.29,0.0,0.0,81.0
250,5,2,224.0,28.8,12.1,0.0,0.0,0.0,75.0
251,5,2,161.3,20.1,8.99,0.0,0.0,0.0,93.0
252,5,2,177.0,26.2,7.2,0.0,0.0,0.0,59.0
253,5,2,138.0,20.5,6.22,0.0,0.0,0.0,58.0
254,5,2,173.5,26.1,7.68,0.0,0.0,0.0,60.0
255,5,2,145.0,20.5,6.36,0.0,0.0,0.0,59.0
256,5,2,164.8,26.4,6.43,0.33,0.0,0.0,58.0
257,5,2,142.0,20.9,5.79,0.0,0.0,0.0,60.0
258,5,2,182.0,26.3,7.66,0.12,0.0,0.0,60.0
259,5,2,135.7,20.7,5.88,0.0,0.0,0.0,60.0
260,5,2,184.0,26.1,8.11,0.0,0.0,0.0,59.0
261,5,2,136.7,20.4,6.12,0.0,0.0,0.0,61.0
262,5,2,176.0,26.7,6.94,0.0,0.0,0.0,62.0
263,5,2,134.0,21.1,5.51,0.0,0.0,0.0,58.0
264,5,2,170.5,19.0,10.5,0.0,0.0,0.0,74.0
265,5,2,176.9,18.8,11.3,0.0,0.0,0.0,74.0
266,5,2,212.0,25.3,11.5,0.0,0.0,0.0,76.0
267,5,2,160.6,19.4,9.22,0.0,0.0,0.0,75.0
268,5,2,216.0,25.7,11.7,0.0,0.0,0.0,67.0
269,5,2,227.0,25.8,12.9,0.0,0.0,0.0,68.0
270,5,2,192.7,25.7,9.99,0.0,0.0,0.0,67.0
271,5,2,196.2,26.1,10.2,0.0,0.0,0.0,68.0
272,5,2,208.8,26.1,11.6,0.0,0.0,0.0,68.0
273,5,2,184.0,26.2,8.0,0.0,0.0,0.0,68.0
274,5,2,181.8,19.0,11.6,0.36,0.0,0.0,76.0
275,5,2,171.7,19.2,10.5,0.09,0.0,0.0,76.0
276,5,2,170.0,19.4,9.99,0.49,0.0,0.0,77.0
277,5,2,178.5,19.2,11.0,0.67,0.0,0.0,76.0
278,5,2,209.5,26.5,11.5,0.0,0.0,0.0,74.0
279,5,2,157.0,19.7,8.54,0.21,0.0,0.0,77.0
280,5,2,140.0,21.1,6.07,0.31,0.0,0.0,81.0
281,5,2,145.0,21.2,6.51,0.39,0.0,0.0,80.0
282,5,2,134.0,21.0,5.41,0.19,0.0,0.0,81.0
283,5,2,216.5,30.5,10.5,0.0,0.0,0.0,65.0
284,5,2,221.5,30.4,11.1,0.0,0.0,0.0,63.0
285,5,2,216.0,30.7,9.44,0.0,0.0,0.0,67.0
286,5,2,219.0,31.4,10.4,0.0,0.0,0.0,65.0
287,5,2,222.0,30.9,10.9,0.0,0.0,0.0,65.0
288,5,2,215.0,32.0,9.66,0.0,0.0,0.0,66.0
289,5,2,230.0,28.4,12.4,0.0,0.0,0.0,62.0
290,5,2,167.7,21.0,9.3,0.0,0.0,0.0,61.0
291,5,2,176.0,21.3,10.1,0.0,0.0,0.0,61.0
292,5,2,197.0,28.6,9.18,0.0,0.0,0.0,62.0
293,5,2,156.8,21.2,8.0,0.0,0.0,0.0,61.0
294,5,2,194.9,29.9,8.37,0.0,0.0,0.0,64.0
295,5,2,138.0,22.2,5.54,0.0,0.0,0.0,60.0
296,5,2,206.0,29.5,8.87,0.0,0.0,0.0,63.0
297,5,2,151.6,21.6,7.24,0.0,0.0,0.0,66.0
298,5,2,183.7,29.9,7.12,0.0,0.0,0.0,64.0
299,5,2,133.0,22.0,4.99,0.0,0.0,0.0,63.0
300,5,2,194.0,29.0,8.15,0.0,0.0,0.0,54.0
301,5,2,137.2,22.2,5.38,0.0,0.0,0.0,56.0
302,5,2,142.4,22.0,6.05,0.0,0.0,0.0,55.0
303,5,2,167.0,27.5,6.37,0.0,0.0,0.0,51.0
304,5,2,130.5,22.4,4.55,0.0,0.0,0.0,58.0
305,5,2,170.0,20.1,9.4,0.0,0.0,0.0,51.3
306,5,2,184.9,27.7,8.23,0.0,0.0,0.0,56.0
307,5,2,149.3,21.2,7.17,0.0,0.0,0.0,54.0
308,5,2,194.2,27.6,9.31,0.0,0.0,0.0,53.0
309,5,2,165.0,21.2,8.29,0.0,0.0,0.0,54.0
310,5,2,183.0,27.8,7.15,0.0,0.0,0.0,58.0
311,5,2,145.0,21.2,6.06,0.0,0.0,0.0,54.0
312,5,2,178.2,27.9,7.4,0.0,0.0,0.0,57.0
313,5,2,135.6,21.6,5.47,0.0,0.0,0.0,55.0
314,5,2,186.1,27.8,8.32,0.0,0.0,0.0,56.0
315,5,2,149.0,21.7,6.29,0.0,0.0,0.0,57.0
316,5,2,178.0,28.0,6.48,0.0,0.0,0.0,59.0
317,5,2,137.0,21.4,5.0,0.0,0.0,0.0,53.0
318,5,2,117.0,23.1,2.69,0.0,0.0,0.0,55.0
319,5,2,221.6,28.4,12.0,0.0,0.0,0.0,87.0
320,5,2,214.0,26.6,11.1,0.0,0.0,0.0,61.0
321,5,2,210.6,26.1,11.8,0.0,0.0,0.0,68.0
322,5,2,204.0,25.2,10.7,0.0,0.0,0.0,75.0
323,5,2,170.0,20.0,10.0,0.0,0.0,0.0,66.0
324,5,2,201.2,28.9,9.51,0.0,0.0,0.0,86.0
325,5,2,192.0,27.0,8.43,0.0,0.0,0.0,59.0
326,5,2,193.0,26.2,8.94,0.0,0.0,0.0,66.0
327,5,2,146.2,20.8,7.0,0.0,0.0,0.0,66.0
328,5,2,174.7,25.6,8.01,0.06,0.0,0.0,72.0
329,5,2,193.0,29.2,7.58,0.0,0.0,0.0,85.0
330,5,2,166.5,27.3,6.37,0.0,0.0,0.0,58.0
331,5,2,174.0,26.3,6.8,0.0,0.0,0.0,65.0
332,5,2,156.7,25.8,5.94,0.0,0.0,0.0,71.0
333,5,2,137.0,21.4,5.0,0.0,0.0,0.0,66.0
334,5,2,175.0,29.5,5.46,0.0,0.0,0.0,84.0
335,5,2,146.9,27.6,4.06,0.0,0.0,0.0,56.0
336,5,2,145.7,26.4,4.46,0.0,0.0,0.0,64.0
337,5,2,121.0,22.0,3.0,0.0,0.0,0.0,66.0
338,5,2,144.0,26.0,3.65,0.0,0.0,0.0,69.0
339,5,2,182.3,26.8,8.34,0.0,0.0,0.0,55.0
340,5,2,182.5,27.3,8.14,0.0,0.0,0.0,56.0
341,5,2,149.0,21.7,6.93,0.0,0.0,0.0,44.0
342,5,2,188.0,27.3,8.82,0.0,0.0,0.0,56.0
343,5,2,152.6,21.5,7.4,0.0,0.0,0.0,44.0
344,5,2,173.7,27.4,7.12,0.0,0.0,0.0,54.0
345,5,2,144.0,21.9,6.21,0.0,0.0,0.0,42.0
346,5,2,177.4,27.5,7.49,0.0,0.0,0.0,56.0
347,5,2,139.0,21.9,5.74,0.0,0.0,0.0,44.0
348,5,2,183.0,27.5,8.13,0.0,0.0,0.0,56.0
349,5,2,142.6,21.8,6.16,0.0,0.0,0.0,45.0
350,5,2,135.0,22.2,5.1,0.0,0.0,0.0,42.0
351,5,2,169.3,27.6,6.54,0.0,0.0,0.0,54.0
351,5,2,168.0,27.7,6.36,0.0,0.0,0.0,54.0
352,5,2,211.0,30.5,8.91,0.0,0.0,0.0,57.0
353,5,2,147.0,21.7,6.67,0.0,0.0,0.0,44.0
354,5,2,208.2,30.2,9.71,0.0,0.0,0.0,58.0
355,5,2,150.3,21.6,7.1,0.0,0.0,0.0,44.0
356,5,2,202.0,30.9,7.7,0.0,0.0,0.0,54.0
357,5,2,142.0,22.0,6.02,0.0,0.0,0.0,42.0
358,5,2,198.0,30.7,8.32,0.0,0.0,0.0,59.0
359,5,2,139.0,21.9,5.74,0.0,0.0,0.0,44.0
360,5,2,202.9,30.4,9.03,0.0,0.0,0.0,71.0
361,5,2,142.6,21.8,6.16,0.0,0.0,0.0,45.0
362,5,2,189.6,31.1,7.25,0.0,0.0,0.0,55.0
363,5,2,135.0,22.2,5.1,0.0,0.0,0.0,42.0
364,5,2,223.0,28.6,11.2,0.0,0.0,0.0,59.0
365,5,2,163.1,22.4,8.17,0.0,0.0,0.0,45.0
366,5,2,171.0,22.2,9.16,0.0,0.0,0.0,45.0
367,5,2,207.0,29.2,9.12,0.0,0.0,0.0,57.0
368,5,2,151.2,22.8,6.67,0.0,0.0,0.0,46.0
369,5,2,202.0,29.5,8.41,0.0,0.0,0.0,61.0
370,5,2,143.4,23.1,5.67,0.0,0.0,0.0,46.0
371,5,2,202.5,29.2,9.52,0.0,0.0,0.0,59.0
372,5,2,149.0,22.9,6.34,0.0,0.0,0.0,46.0
373,5,2,189.0,30.0,6.74,0.0,0.0,0.0,58.0
374,5,2,135.1,23.3,4.66,0.0,0.0,0.0,47.0
375,5,2,198.0,29.1,9.11,0.0,0.0,0.0,54.0
376,5,2,143.0,23.1,5.67,0.0,0.0,0.0,46.0
377,5,2,208.0,28.7,10.3,0.0,0.0,0.0,56.0
378,5,2,148.7,22.9,6.34,0.0,0.0,0.0,46.0
378,5,2,148.7,22.8,6.39,0.0,0.0,0.0,45.0
379,5,2,184.1,29.7,7.26,0.0,0.0,0.0,51.0
380,5,2,135.0,23.3,4.66,0.0,0.0,0.0,47.0
381,5,2,191.0,19.9,12.4,0.0,0.0,0.0,80.0
382,5,2,179.0,20.1,10.9,0.0,0.0,0.0,78.0
383,5,2,181.0,28.3,7.23,0.73,0.0,0.0,62.0
384,5,2,133.8,21.4,5.36,0.0,0.0,0.0,55.0
385,5,2,188.7,28.2,7.96,1.07,0.0,0.0,62.0
386,5,2,138.0,21.3,5.82,0.0,0.0,0.0,60.0
387,5,2,170.0,28.4,6.14,0.22,0.0,0.0,63.0
388,5,2,127.7,21.4,4.68,0.0,0.0,0.0,52.0
389,5,2,170.7,30.6,5.37,0.0,0.0,0.0,59.0
390,5,2,174.0,30.4,5.83,0.0,0.0,0.0,59.0
391,5,2,165.3,30.8,4.68,0.0,0.0,0.0,56.0
392,5,2,170.0,29.1,5.92,0.0,0.0,0.0,57.0
393,5,2,173.0,29.0,6.37,0.0,0.0,0.0,57.0
394,5,2,164.8,29.4,5.25,0.0,0.0,0.0,58.0
395,5,2,128.0,23.0,3.98,0.0,0.0,0.0,65.0
396,5,2,131.6,23.0,4.4,0.0,0.0,0.0,65.0
397,5,2,122.2,23.0,3.35,0.0,0.0,0.0,58.0
398,5,2,228.0,31.3,11.4,0.0,0.0,0.0,33.0
399,5,2,159.2,21.3,8.22,0.0,0.0,0.0,54.0
400,5,2,193.1,33.5,6.57,0.0,0.0,0.0,33.0
401,5,2,129.0,22.1,4.49,0.0,0.0,0.0,55.0
402,5,2,194.0,19.7,12.8,0.0,0.0,0.0,66.0
403,5,2,250.0,31.9,13.6,0.0,0.0,0.0,29.0
404,5,2,163.1,20.0,9.23,0.0,0.0,0.0,49.0
405,5,2,201.4,34.5,7.05,0.0,0.0,0.0,30.0
406,5,2,125.0,20.9,4.62,0.0,0.0,0.0,51.0
